unique_id,Painting,"On a scale of 1–10, how intense is the emotion conveyed by the artwork?",Describe how this painting makes you feel.,This art piece makes me feel sombre.,This art piece makes me feel content.,This art piece makes me feel calm.,This art piece makes me feel uneasy.,How many prominent colours do you notice in this painting?,How many objects caught your eye in the painting?,How much (in Canadian dollars) would you be willing to pay for this painting?,"If you could purchase this painting, which room would you put that painting in?","If you could view this art in person, who would you want to view it with?",What season does this art piece remind you of?,"If this painting was a food, what would be?",Imagine a soundtrack for this painting. Describe that soundtrack without naming any objects in the painting.
5,The Water Lily Pond,5,"It is pretty neutral, maybe some happiness childhood like.",1 - Strongly disagree,4 - Agree,4 - Agree,1 - Strongly disagree,4,2,100,"Bedroom,Living room,Dining room",By yourself,"Spring,Summer","Milk and biscuits, something refreshi","Jazzy music, happy upbeat. or piano debussy."
6,The Persistence of Memory,7,"This painting makes me feel a bit confused and bewildered, as the objects and art style make me feel detached from reality.",4 - Agree,2 - Disagree,1 - Strongly disagree,5 - Strongly agree,5,6,90000,"Office,Living room","Friends,Family members,By yourself","Summer,Fall",Shepherd's pie,"The soundtrack should sound heavy, sombre, and like a finale to an event. It should be slow but without too much emotion."
6,The Starry Night,6,"It makes me feel calm and in awe, as if I were transported to a more soothing parallel universe.",3 - Neutral/Unsure,3 - Neutral/Unsure,4 - Agree,2 - Disagree,3,5,70000,"Bathroom,Office","Family members,By yourself",Winter,Cold noodles,"It should sound content and upbeat without being too fiery, evoking a scene of reminiscing of a brilliant night out."
6,The Water Lily Pond,4,"It makes me feel happy and at ease, as if nothing in the world could stress or concern me, and only the current moment matters.",1 - Strongly disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,2,3,60000,"Bedroom,Bathroom","Friends,Family members",Spring,"A refreshing drink, like cold water","It would be joyous, serene, and slow."
7,The Persistence of Memory,8,It has a sorrow feeling and clock is melting feel like time is decaying.,4 - Agree,2 - Disagree,2 - Disagree,4 - Agree,3,3,0,Office,By yourself,Winter,10 days old lasagna,"A truly sorrow, minor key orchestra piece"
7,The Starry Night,5,"Dreamy, Unrealistic, Calm",2 - Disagree,3 - Neutral/Unsure,4 - Agree,2 - Disagree,3,2,100,"Bedroom,Bathroom,Office,Living room,Dining room","Friends,Family members,By yourself","Spring,Summer,Fall,Winter",A treat like chocolate or cupcakes.,A melancholy relaxing piece of orchestra
7,The Water Lily Pond,6,"Naturalistic, and fresh",1 - Strongly disagree,4 - Agree,4 - Agree,1 - Strongly disagree,3,1,100,Bedroom,"Friends,Family members",Spring,Ramen,"Orchestra, bossa nova"
8,The Persistence of Memory,4,"The painting makes me feel somewhat sad, thinking about the passage of time.",4 - Agree,2 - Disagree,2 - Disagree,4 - Agree,7,8,150,Office,By yourself,Winter,Grilled Salmon with a Beurre Blanc sauce.,"Slow, somewhat sad piano or violin piece."
8,The Starry Night,3,"Makes me feel calm, reminiscent of staring at the moon on a dark night.",2 - Disagree,4 - Agree,4 - Agree,2 - Disagree,4,3,250,Bedroom,By yourself,Winter,A bowl of ramen with a hearty broth.,"Something like ""Prisonic Fairytale"" from the Silent Hill 2 Soundtrack."
8,The Water Lily Pond,2,The painting makes me feel somewhat calm.,2 - Disagree,4 - Agree,4 - Agree,1 - Strongly disagree,3,5,200,Living room,By yourself,Spring,A vibrant set of cookies and biscuits.,"Very calm, upbeat melody. Something similar to Erik Satie's Le Piccadilly."
9,The Persistence of Memory,8,"eerie, moody, confused",5 - Strongly agree,2 - Disagree,2 - Disagree,4 - Agree,3,4,20,Office,Friends,Fall,pizza,ticking clock horror movie soundtrack
9,The Starry Night,3,"calm, serene",3 - Neutral/Unsure,4 - Agree,5 - Strongly agree,2 - Disagree,2,3,1000000,Dining room,Family members,Summer,duck confit,dinnertime jazz
9,The Water Lily Pond,6,nostalgic,2 - Disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,3,1,50000,Bedroom,Friends,Spring,fruit platter,studio ghibli ost
10,The Persistence of Memory,10,"The painting gives me a sense of nostalgia and mourning. Although the setting is surreal, it feels like I am looking at a part of my life which has gone and passed forever and is warped upon reflection.",5 - Strongly agree,3 - Neutral/Unsure,1 - Strongly disagree,5 - Strongly agree,3,5,100000000,Living room,"Friends,Family members,By yourself",Fall,flan,"The soundtrack would be somber and nostalgic, with a solemn yearning for the past. "
10,The Starry Night,10,"It makes me feel hopeful for the future, and brings something ethereal out of the ordinary.",2 - Disagree,4 - Agree,4 - Agree,2 - Disagree,3,2,10000000,Dining room,"Friends,Family members,Coworkers/Classmates,Strangers,By yourself",Summer,Tomato and scrambled eggs with rice,The soundtrack would be cheerful and hopeful. As if the artist had a breakthrough and was in state of peace and awareness.
10,The Water Lily Pond,9,It makes me feel calm and immersed. I can remember many times being in the same setting as the painting. It brings a lot memories of the late spring.,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,1,1,100000,Bedroom,By yourself,Spring,Oven cooked mutton,The soundtrack would be cheerful and pleasant. it would include sounds from nature and be very high and light
11,The Persistence of Memory,7,The painting makes me feel lathargic.,4 - Agree,2 - Disagree,4 - Agree,3 - Neutral/Unsure,3,5,400,"Office,Dining room",By yourself,Fall,Soup,Low bpm
11,The Starry Night,3,Entranced,1 - Strongly disagree,3 - Neutral/Unsure,5 - Strongly agree,1 - Strongly disagree,2,2,250,"Bedroom,Dining room","Friends,Strangers",Winter,Blueberries,Nighttime mix
11,The Water Lily Pond,8,Happy,1 - Strongly disagree,5 - Strongly agree,4 - Agree,1 - Strongly disagree,4,1,500,"Office,Living room",By yourself,"Spring,Summer",Salad,upbeat
12,The Persistence of Memory,8,World goes to an end.,3 - Neutral/Unsure,2 - Disagree,3 - Neutral/Unsure,3 - Neutral/Unsure,3,3,1000,Bedroom,"Friends,Family members,By yourself",Fall,A black chocolate.,"The soundtrack is cold, giving a scene of  million years after a global disaster."
12,The Starry Night,5,I feel like I’m in a dream.,2 - Disagree,3 - Neutral/Unsure,4 - Agree,2 - Disagree,2,3,2000,Bedroom,"Friends,Family members,Coworkers/Classmates,Strangers","Summer,Fall,Winter",Cold decaf coffee.,"Calm, sleepy, fantasy."
12,The Water Lily Pond,1,"Happy, prosperity.",1 - Strongly disagree,4 - Agree,2 - Disagree,1 - Strongly disagree,1,1,1000,Living room,"Friends,Family members,Coworkers/Classmates","Spring,Summer",A cake.,Some music for natural scenes.
13,The Persistence of Memory,7,I feel shocked and discomfort.,5 - Strongly agree,1 - Strongly disagree,2 - Disagree,5 - Strongly agree,7,8,5 000 000$,"Bedroom,Office","Friends,Family members,By yourself",Fall,oreo,A very solemn soundtrack.
13,The Starry Night,8,I fell lonely and wonder.,4 - Agree,3 - Neutral/Unsure,4 - Agree,4 - Agree,6,5,10 000 000$,Bedroom,"Friends,Family members,Coworkers/Classmates,By yourself",Spring,ramen,a very quiet and lower tone soundtrack
13,The Water Lily Pond,7,I feel joy and calm.,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,4,4,2 000 000$,"Bathroom,Living room,Dining room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself","Spring,Summer",caesar salad,"more joyful, calm, and high pitch soundtrack using flute and clarinet."
14,The Persistence of Memory,6,"The painting makes me feel nostalgic and sad. The sunset conveys a calming ending feeling while the clocks melting away induces a feeling of the duration and longing where time loses its meaning. While it conveys to me of the inevitable passing of my limited amount of time, it also reminds me of the greatest times and memories I have experienced in my life.",4 - Agree,3 - Neutral/Unsure,4 - Agree,4 - Agree,5,3,100000,"Living room,Dining room","Friends,Strangers,By yourself","Summer,Fall",A chocolate dessert,"Slow, calm rhythm. No intense variations in melody. Strongly harmonic."
14,The Starry Night,8,The painting makes me feel calm. It reminds me of quietness as if the quiet streets and the sky swirl around when I have an alone-time to myself. The amount of noise I ingest from the world is reduced by the blurriness of the details.,2 - Disagree,4 - Agree,4 - Agree,2 - Disagree,5,6,10000000,Bedroom,"Friends,Coworkers/Classmates,By yourself","Spring,Summer",Ice cream,"I closely associate this painting with Chopin's Nocturne op.9 no.2. A piano piece with calm rhythm, with distinct notes. Harmonic but not too much."
14,The Water Lily Pond,6,"The painting makes me feel warm, happy, and content with my life. A feeling of the lack of distraction produced by the isolation of the pleasing location and cozy lighting.",1 - Strongly disagree,5 - Strongly agree,4 - Agree,1 - Strongly disagree,4,4,10000,"Office,Living room","Friends,Family members,Coworkers/Classmates","Spring,Summer",Christmas porridge,"Average rhythm, dominated by mild melody, but paired with distinct high pitched themes. The harmony does not stand out distinctively. "
15,The Persistence of Memory,3,It makes me feel a bit anxious or sad since it seems to symbolize time melting away.,4 - Agree,3 - Neutral/Unsure,4 - Agree,1 - Strongly disagree,3,5,5000,Office,By yourself,Summer,Scrambled eggs,It would probably be slow and a little sad but not creepy or eerie.
15,The Starry Night,3,The painting makes me feel peaceful.,2 - Disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,1,3,10000000,"Bedroom,Bathroom,Living room,Dining room","Friends,Family members,By yourself",Summer,Blueberry pie,Calming classical music. Probably quite quiet.
15,The Water Lily Pond,5,It makes me feel calm,2 - Disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,1,1,2000000,"Bedroom,Bathroom,Living room,Dining room","Friends,Family members,By yourself",Spring,A salad.,"Maybe a bit upbeat, but not very fast and still probably quite slow and quiet."
16,The Persistence of Memory,8,"This painting makes me feel a sense a fleeting emotions and temporality. I like the use of colour because as the sun sets, it makes me feel like there will be a tomorrow whilst grieving the today.",4 - Agree,3 - Neutral/Unsure,4 - Agree,2 - Disagree,4,4,1500000,Living room,By yourself,Fall,Banana,"The soundtrack would be calm and serene. There's a weird uneasiness to it though, that things won't last and a feeling that you'll lose it all."
16,The Starry Night,3,This painting makes me happy. Just like after a good day of having fun with friends.,2 - Disagree,4 - Agree,4 - Agree,2 - Disagree,3,2,2000000,Bedroom,Friends,Summer,Jolly Ranchers,This soundtrack would have piano and violin as a duet playing ballads. 
16,The Water Lily Pond,4,"This painting makes me feel girly. I feel like I would have a picnic with friends in pretty fancy dresses, eating gourmet cakes and deserts.",1 - Strongly disagree,4 - Agree,4 - Agree,1 - Strongly disagree,3,1,3000000,"Office,Living room",By yourself,Spring,Cake with ribbons,I think it would sound magical with twinkling sounds. I think it would be calm and include some bird sounds too.
17,The Persistence of Memory,8,This painting make me feel weird and little sad. Time look melting and nothing feel normal. It make me think life go fast.,4 - Agree,2 - Disagree,2 - Disagree,4 - Agree,5,6,50,Office,By yourself,Summer,Old cheese that stay too long,"The soundtrack is very slow and quiet. Sound feel empty and long. Notes stretch and feel tired, like waiting and nothing happen. Music feel lonely and strange."
17,The Starry Night,9,"This painting make me feel strong but also calm. Sky look moving and alive. It feel big and emotional, like thinking too much at night.",3 - Neutral/Unsure,4 - Agree,4 - Agree,3 - Neutral/Unsure,4,7,200,Living room,By yourself,Summer,Pie,The soundtrack is soft but powerful. Sound go up and down like wave. Music feel spinning and emotional
17,The Water Lily Pond,6,This painting make me feel calm and quiet. Everything feel soft and slow. It make my brain rest a little.,2 - Disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,4,5,80,Living room,Family members,Spring,Matcha cake,The soundtrack is very soft and smooth. Sound feel gentle and slow.
18,The Persistence of Memory,9,It makes me feel lost and sad. ,5 - Strongly agree,2 - Disagree,3 - Neutral/Unsure,4 - Agree,3,5,200$,Office,By yourself,Fall,coconut,the soundtrack would be a violin piece. it would be slow but intense.
18,The Starry Night,10,Amazed and stunned by the beauty of the universe,2 - Disagree,5 - Strongly agree,4 - Agree,2 - Disagree,3,2,"40,000$",Bedroom,"Friends,Family members",Spring,Cake ,piano piece that is fast and loud
18,The Water Lily Pond,7,"Calm and happy, amazed at nature",1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,1,1,500$,Living room,Family members,Summer,Dragonfruit,A upbeat rhythmic pop song with a female singer
19,The Persistence of Memory,3,"Shocked, mysterious, unreal ",4 - Agree,1 - Strongly disagree,1 - Strongly disagree,4 - Agree,3,6,100,Dining room,"Strangers,By yourself",Winter,"A single soft-boiled egg, yolk just barely holding together.","Suspended, quietly unsettling. A single distant piano note drops into the air and lingers far longer than it should, as if streched."
19,The Starry Night,2,"Sorrow, dreamlike, loneliness ",2 - Disagree,4 - Agree,3 - Neutral/Unsure,1 - Strongly disagree,5,2,100000,Living room,"Friends,Family members,Coworkers/Classmates",Summer,A bowl of black garlic miso ramen.,"Softly. A solon piano or muted strings trace a slow, circular motif, repeating with slight variations."
19,The Water Lily Pond,1,"Bright, lively, comfortable, peaceful ",2 - Disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,1,1,450,"Bedroom,Living room,Dining room","Friends,Family members,Coworkers/Classmates",Spring,Stir-fried lettuce with chili peppers,light drifting across water. Violins and violas held in warm sustained tones.
20,The Persistence of Memory,6,Very uneasy,4 - Agree,2 - Disagree,2 - Disagree,5 - Strongly agree,4,3,$100,Office,Coworkers/Classmates,Fall,Coffee,Slow orchestral strings ensemble
20,The Starry Night,5,Makes me feel small and insignificant yet calm and serene ,2 - Disagree,4 - Agree,4 - Agree,2 - Disagree,4,3,$500,"Bedroom,Bathroom,Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself","Summer,Winter",Hot chocolate,"Electronic synths and bells, very serene"
20,The Water Lily Pond,4,Happy and content,2 - Disagree,4 - Agree,4 - Agree,3 - Neutral/Unsure,3,2,$300,"Bedroom,Bathroom,Office,Living room,Dining room","Friends,Family members,By yourself","Spring,Summer",Salad,Happy piano music
21,The Persistence of Memory,7,"Perhaps the fragility of time as it passes so quickly. Seeing as the clocks are bended, one almost gets this feeling that the past also loses its importance or fades away as time moves forward. Overall, its sort of a weird feeling. ",4 - Agree,2 - Disagree,1 - Strongly disagree,4 - Agree,5,3,50,Living room,Friends,Winter,Birthday cake,The tides of history move forward and people either choose to stay caught in a specific tide or surf past it. 
21,The Starry Night,5, A bit uneasy because the sky above the city is so disturbing in a sense ,1 - Strongly disagree,1 - Strongly disagree,1 - Strongly disagree,5 - Strongly agree,5,3,10,Bedroom,Family members,Winter,A cup of tea/coffee,"A calm soundtrack with a soft/light beat, but some background noise that is eerie in some sense. "
21,The Water Lily Pond,8,A sense of calm and very content,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,4,1,250,Bedroom,"Friends,Family members,Coworkers/Classmates","Spring,Summer",An ice cream,A very soothing soundtrack like one of those soundtracks people use to concentrate or feel at ease.
22,The Persistence of Memory,5,"Ominous, it seems like the painting is trying to show how memory, even after years of time spending by, persists, and stays within ones body.",4 - Agree,2 - Disagree,3 - Neutral/Unsure,4 - Agree,8,9,50,Bedroom,Friends,Winter,rotten tomato,"An orchestral soundtrack that commences with a very slow and sombre timbre and steadily keeps on increasing intensity and frequency till it reaches a dull minor scale peak, before descending back into silence."
22,The Starry Night,8,"mystical and magical, yet surreal",3 - Neutral/Unsure,4 - Agree,5 - Strongly agree,2 - Disagree,5,3,100,Living room,"Friends,Family members,By yourself",Winter,Apple pie,"A chime playing a duo with a harpsichord, an arpeggio from both, in a repeated fashion, which gets somewhat hypnotizing by the end."
22,The Water Lily Pond,6,"Happy, serene, calm. Feels like a place where I can sit and enjoy for hours on end, while reading a book, enjoying the occasional short lived company of the pedestrians, and leave as the sun sets :)",1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,3,4,250,Living room,"Friends,Family members,By yourself","Spring,Fall", a warm croissant ,"Any ludovico einaudi song, honestly. Just piano and orchestral genius, doing their thing."
23,The Persistence of Memory,3,slowed down and lazy.,4 - Agree,2 - Disagree,2 - Disagree,5 - Strongly agree,5,4,50,Bathroom,By yourself,Winter,cheesecake,slowed classical
23,The Starry Night,2,happy,2 - Disagree,4 - Agree,5 - Strongly agree,2 - Disagree,3,2,150,"Bedroom,Office",Family members,Summer,blueberry,classical music with violins
23,The Water Lily Pond,5,refreshed,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,1,2,200,"Office,Living room","Friends,Family members,Strangers","Spring,Summer",Apple,A calming voice singing with instrumental music
24,The Persistence of Memory,5,"This painting makes me feel a bit strange. The content in the painting goes against reality, and it feels like there are many elements of imagination and distortion.",3 - Neutral/Unsure,3 - Neutral/Unsure,3 - Neutral/Unsure,3 - Neutral/Unsure,5,4,100,Bedroom,Family members,Fall,Sandwich,"It sounds a bit strange, fairly calm, and somewhat random."
24,The Starry Night,6,"It makes me feel that the scene looks calm on the surface, but there is a sense of hidden tension underneath, like the view you see when walking down the street while slightly drunk.",4 - Agree,4 - Agree,3 - Neutral/Unsure,2 - Disagree,6,3,100,Bedroom,By yourself,Winter,Soup,"It sounds like soothing instrumental music, combined with background sounds from everyday life."
24,The Water Lily Pond,6,"It makes me feel like it is midsummer, with pollen and insects all around, and the heat is intense.",2 - Disagree,3 - Neutral/Unsure,3 - Neutral/Unsure,4 - Agree,4,2,100,Living room,Friends,Summer,Icecream,"It feels like many instruments are playing together, and the sound is quite harmonious, like a symphony."
25,The Persistence of Memory,7,This painting makes me feel as though my life is becoming foggy and I am reflecting on life as it was in a better time. As if I can no longer dream and my time is running out in a bleak world where I can no longer return to the person I once was.,4 - Agree,2 - Disagree,2 - Disagree,4 - Agree,4,7,150,"Bedroom,Bathroom",By yourself,Fall,puffer fish,"A slightly joyous melody that starts off fast but slows down as the track goes on becoming sadder, with eerie background music that grows louder and faster until the end where the track abruptly stops."
25,The Starry Night,9,"Like I am back in my childhood, where dreams and imagination are all that make up my thoughts, and the idea of exploring the unknown is my greatest interest. I feel as if I am both excited and at peace to see the world for all its beauty.",1 - Strongly disagree,4 - Agree,5 - Strongly agree,2 - Disagree,2,4,300,"Bedroom,Bathroom,Living room,Dining room","Friends,Family members,By yourself","Spring,Summer,Fall",A hamburger,"A piano plays with high keys to create a calm, soothing and joyous melody that serves as a good background track to accompany positive emotions but not to create them. The soundtrack sounds curious and exploratory with classical instruments playing a soft hum."
25,The Water Lily Pond,8,"This painting make me feel like I can sit down and take in the breeze enjoying the world for what it is without worrying about being an active participant. Like I can pause and look around at the world carefree, with the sense the world will keep going no matter what happens. It brings back nostalgic but happy feelings of being a child.",1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,3,1,100,"Living room,Dining room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself","Spring,Summer",an apple,"A very joyous melody with many different instruments playing together, but not feeling like an overcrowded song with all instruments feeling as though they belong and mesh perfectly. A soundtrack that is calm but evokes emotions of joy and excitement, and can be enjoyed by anyone. A piano and xylophone can most prominently be heard on the track."
26,The Persistence of Memory,4,"Uncanny, lonely, still, anxious",5 - Strongly agree,2 - Disagree,2 - Disagree,4 - Agree,3,8,100,"Bathroom,Office,Living room","Friends,Family members","Summer,Fall",Cheesecake,"A low, steady hum and a long, shaking whistle and the static of radio."
26,The Starry Night,7,Relaxed and dreamy.,3 - Neutral/Unsure,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,3,3,500,"Bedroom,Living room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself",Summer,Blueberry Pancakes,"Relaxing classical music with piano/keyboard, with a calming and slow tempo, and low energy."
26,The Water Lily Pond,6,Refreshed and relaxed,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,2,1,400,Living room,By yourself,Spring,salad,"Classical music with variety of instruments, with a medium tempo, and medium energy."
27,The Persistence of Memory,7,"Sad, uncertain, slightly disoriented.",4 - Agree,1 - Strongly disagree,2 - Disagree,5 - Strongly agree,6,5,"I don't like feeling uneasy so I wouldn't pay much, maybe $10","Bathroom,Office","Friends,Family members",Summer,Poutine,"I'd imagine a very sombre soundtrack, something that would play in a movie after a very beloved character dies."
27,The Starry Night,10,Chaotic and scared,2 - Disagree,2 - Disagree,2 - Disagree,4 - Agree,3,2,Around $1000,"Living room,Dining room",Friends,Fall,Spicy noodles,I'd imagine something more happy or chaotic. Maybe similar to a song that would play during a fight scene.
27,The Water Lily Pond,5,Happy and calm,2 - Disagree,5 - Strongly agree,5 - Strongly agree,2 - Disagree,3,2,"$1,000-$10,000",Bedroom,"Friends,Family members",Spring,Apple pie,"I'd imagine a soundtrack that's happy and calm. I'd imagine it would be the type of song that would play when two characters get reunited, or someone finds out about some good news."
28,The Persistence of Memory,6,Uneasy since time in this picture doesn't seem to be a rigid construct,4 - Agree,3 - Neutral/Unsure,2 - Disagree,4 - Agree,7,8,$50,"Office,Living room","Strangers,By yourself",Summer,cheese sandwich ,slow dramatic violin notes 
28,The Starry Night,5,mirrors spiralling thoughts inside a calm facade,4 - Agree,3 - Neutral/Unsure,4 - Agree,3 - Neutral/Unsure,5,5,$60,Bedroom,"Strangers,By yourself",Winter,blueberry cake,soft piano tunes with uneven crescendos 
28,The Water Lily Pond,6,"relaxed, hopeful with spring vibes",2 - Disagree,4 - Agree,4 - Agree,2 - Disagree,4,3,$50,Living room,Friends,Spring,matcha tiramisu ,ambient harp music 
29,The Persistence of Memory,8,It makes me feel sad and drowsy.,4 - Agree,2 - Disagree,3 - Neutral/Unsure,4 - Agree,5,8,"$1,000",Living room,"Friends,By yourself",Fall,Mashed Potatoes.,Slow jazz.
29,The Starry Night,10,Curious.,4 - Agree,4 - Agree,4 - Agree,3 - Neutral/Unsure,5,4,"$5,000",Office,"Friends,Family members,By yourself",Winter,Chicken noodle soup,Something Frank Sinatra.
29,The Water Lily Pond,4,"Calm, breezy, content.",2 - Disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,3,3,$100,"Bathroom,Living room,Dining room","Friends,Family members,By yourself","Spring,Summer",Seafood spaghetti.,Hawaiian music. 
30,The Persistence of Memory,10,This painting makes me feel sad and feel like I am running out of time,5 - Strongly agree,1 - Strongly disagree,1 - Strongly disagree,5 - Strongly agree,2,3,300,Dining room,By yourself,Fall,Soup,Slow and sad music played by a violine of a cello. Burns the Heart
30,The Starry Night,5,Very calm and peaceful. IT makes me feel relaxed,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,2,4,1200,"Bedroom,Dining room","Friends,Family members,Coworkers/Classmates,By yourself","Spring,Summer",Atlantic Salmon,A calming and relaxing piece played by a piano. like The Piano Sonata No. 14 
30,The Water Lily Pond,2,Happy and Calm,3 - Neutral/Unsure,4 - Agree,4 - Agree,2 - Disagree,2,1,300,"Bathroom,Office,Living room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself",Spring,Garlic Bread,Joyful soundtrack that would increase its beat and tempo as the song goes on. Something with a clarinet playing 
31,The Persistence of Memory,5,"Old, lonely ",3 - Neutral/Unsure,2 - Disagree,3 - Neutral/Unsure,4 - Agree,5,3,1,Bathroom,"Strangers,By yourself",Fall,Bread,Slow music
31,The Starry Night,7,"Peaceful, tired",4 - Agree,4 - Agree,4 - Agree,1 - Strongly disagree,3,3,15,"Bedroom,Office,Living room","Friends,Family members,By yourself",Winter,soup,slow but more upbeat music 
31,The Water Lily Pond,7,"happy, lively",4 - Agree,4 - Agree,4 - Agree,1 - Strongly disagree,3,2,10,"Bedroom,Bathroom,Office,Living room","Friends,Family members","Spring,Summer",salad,"lively, happy music, piano and many other instruments"
32,The Persistence of Memory,4,This painting makes me feel cognizant of the connection between and relativity of space and time.,4 - Agree,2 - Disagree,2 - Disagree,4 - Agree,5,9,20,Office,By yourself,Summer,Bitter melon,"The soundtrack would be slow, contemplative, maybe even a little experimental at times."
32,The Starry Night,3,This painting makes feel nostalgic and at peace.,2 - Disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,3,3,$500,Bedroom,Friends,"Spring,Summer",Dragonfruit,"The soundtrack would be calm and instrumental, with an emphasis on piano."
32,The Water Lily Pond,6,"Very at ease, immersed in nature, hopeful, optimistic.",1 - Strongly disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,1,1,$100,"Bedroom,Living room","Friends,Family members",Spring,A perfectly ripe pear,"The soundtrack would be medium or fast paced, centred on string instruments."
33,The Persistence of Memory,8,"The painting makes me feel a sense of longing, almost as if time is passing as symbolized by the clocks melting. Accompanied by this, it also makes me feel a sense of urgency since I recognize that time is passing so I feel like I should be doing more with my time! ",5 - Strongly agree,2 - Disagree,2 - Disagree,3 - Neutral/Unsure,3,4,50,Office,"Friends,Strangers,By yourself","Fall,Winter",Pizza,"Slow brass instruments, trumpets, playing in minor key, lower register notes. "
33,The Starry Night,8,"It makes me feel a sense of wonder from the vivid swirls of stars in the sky, and at the beauty of the night sky conveyed by the artists technique. ",1 - Strongly disagree,5 - Strongly agree,4 - Agree,1 - Strongly disagree,3,3,100,"Bedroom,Living room,Dining room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself","Spring,Winter",Spaghetti,"Chopin's Nocturne in E-Flat Major, Op. 9, No. 2, or Debussy's Clair de Lune - graceful piano, in major key, reminding you of the nighttime, or moonlight - not sombre, but almost mystical or reflective"
