unique_id,Painting,"On a scale of 1–10, how intense is the emotion conveyed by the artwork?",Describe how this painting makes you feel.,This art piece makes me feel sombre.,This art piece makes me feel content.,This art piece makes me feel calm.,This art piece makes me feel uneasy.,How many prominent colours do you notice in this painting?,How many objects caught your eye in the painting?,How much (in Canadian dollars) would you be willing to pay for this painting?,"If you could purchase this painting, which room would you put that painting in?","If you could view this art in person, who would you want to view it with?",What season does this art piece remind you of?,"If this painting was a food, what would be?",Imagine a soundtrack for this painting. Describe that soundtrack without naming any objects in the painting.,room_Bathroom,room_Bedroom,room_Dining room,room_Living room,room_Office,view_By yourself,view_Coworkers/Classmates,view_Family members,view_Friends,view_Strangers,season_Fall,season_Spring,season_Summer,season_Winter
8.0,The Water Lily Pond,-2.0476990616249053,The painting makes me feel somewhat calm.,-0.5180793304285297,0.4488007569043874,0.24121744547650806,-0.9800578175219782,-0.32726842186532884,0.4551077798918739,-0.07962487167306836,Living room,By yourself,Spring,A vibrant set of cookies and biscuits.,"Very calm, upbeat melody. Something similar to Erik Satie's Le Piccadilly.",0,0,0,1,0,1,0,0,0,0,0,1,0,0
9.0,The Persistence of Memory,0.7868951693194484,"eerie, moody, confused",1.6411208603636653,-1.0915844496574743,-1.3692990312870437,1.112048637060993,-0.32726842186532884,0.08142859787281082,-0.07962820494384179,Office,Friends,Fall,pizza,ticking clock horror movie soundtrack,0,0,0,0,1,0,0,0,1,0,1,0,0,0
9.0,The Starry Night,-1.5752666898008465,"calm, serene",0.201654066502202,0.4488007569043874,1.046475683858284,-0.28268899932765446,-0.7236530988899419,-0.29225058414625227,-0.06111040434381204,Dining room,Family members,Summer,duck confit,dinnertime jazz,0,0,1,0,0,0,0,1,0,0,0,0,1,0
9.0,The Water Lily Pond,-0.15796957432866957,nostalgic,-0.5180793304285297,1.2189933601853182,1.046475683858284,-0.9800578175219782,-0.32726842186532884,-1.0396089481843784,-0.07870266675908862,Bedroom,Friends,Spring,fruit platter,studio ghibli ost,0,1,0,0,0,0,0,0,1,0,0,1,0,0
10.0,The Persistence of Memory,1.7317599129675663,"The painting gives me a sense of nostalgia and mourning. Although the setting is surreal, it feels like I am looking at a part of my life which has gone and passed forever and is warped upon reflection.",1.6411208603636653,-0.3213918463765434,-2.17455726966882,1.8094174552553168,-0.32726842186532884,0.4551077798918739,1.772188521037641,Living room,"Friends,Family members,By yourself",Fall,flan,"The soundtrack would be somber and nostalgic, with a solemn yearning for the past. ",0,0,0,1,0,1,0,1,1,0,1,0,0,0
10.0,The Starry Night,1.7317599129675663,"It makes me feel hopeful for the future, and brings something ethereal out of the ordinary.",-0.5180793304285297,0.4488007569043874,0.24121744547650806,-0.28268899932765446,-0.32726842186532884,-0.6659297661653153,0.10555313432722913,Dining room,"Friends,Family members,Coworkers/Classmates,Strangers,By yourself",Summer,Tomato and scrambled eggs with rice,The soundtrack would be cheerful and hopeful. As if the artist had a breakthrough and was in state of peace and awareness.,0,0,1,0,0,1,1,1,1,1,0,0,1,0
10.0,The Water Lily Pond,1.2593275411435074,It makes me feel calm and immersed. I can remember many times being in the same setting as the painting. It brings a lot memories of the late spring.,-1.2378127273592614,1.2189933601853182,1.046475683858284,-0.9800578175219782,-1.120037775914555,-1.0396089481843784,-0.07777675821091616,Bedroom,By yourself,Spring,Oven cooked mutton,The soundtrack would be cheerful and pleasant. it would include sounds from nature and be very high and light,0,1,0,0,0,1,0,0,0,0,0,1,0,0
11.0,The Persistence of Memory,0.3144627974953894,The painting makes me feel lathargic.,0.9213874634329337,-1.0915844496574743,0.24121744547650806,0.41467981886666927,-0.32726842186532884,0.4551077798918739,-0.07962116803887569,"Office,Dining room",By yourself,Fall,Soup,Low bpm,0,0,1,0,1,1,0,0,0,0,1,0,0,0
11.0,The Starry Night,-1.5752666898008465,Entranced,-1.2378127273592614,-0.3213918463765434,1.046475683858284,-0.9800578175219782,-0.7236530988899419,-0.6659297661653153,-0.0796239457645202,"Bedroom,Dining room","Friends,Strangers",Winter,Blueberries,Nighttime mix,0,1,1,0,0,0,0,0,1,1,0,0,0,1
11.0,The Water Lily Pond,0.7868951693194484,Happy,-1.2378127273592614,1.2189933601853182,0.24121744547650806,-0.9800578175219782,0.06911625515928428,-1.0396089481843784,-0.07961931622177934,"Office,Living room",By yourself,"Spring,Summer",Salad,upbeat,0,0,0,1,1,1,0,0,0,0,0,1,1,0
12.0,The Persistence of Memory,0.7868951693194484,World goes to an end.,0.201654066502202,-1.0915844496574743,-0.5640407929052679,0.41467981886666927,-0.32726842186532884,-0.29225058414625227,-0.07961005713629761,Bedroom,"Friends,Family members,By yourself",Fall,A black chocolate.,"The soundtrack is cold, giving a scene of  million years after a global disaster.",0,1,0,0,0,1,0,1,1,0,1,0,0,0
12.0,The Starry Night,-0.6304019461527285,I feel like I’m in a dream.,-0.5180793304285297,-0.3213918463765434,0.24121744547650806,-0.28268899932765446,-0.7236530988899419,-0.29225058414625227,-0.07959153896533416,Bedroom,"Friends,Family members,Coworkers/Classmates,Strangers","Summer,Fall,Winter",Cold decaf coffee.,"Calm, sleepy, fantasy.",0,1,0,0,0,0,1,1,1,1,1,0,1,1
12.0,The Water Lily Pond,-2.5201314334489644,"Happy, prosperity.",-1.2378127273592614,0.4488007569043874,-1.3692990312870437,-0.9800578175219782,-1.120037775914555,-1.0396089481843784,-0.07961005713629761,Living room,"Friends,Family members,Coworkers/Classmates","Spring,Summer",A cake.,Some music for natural scenes.,0,0,0,1,0,0,1,1,1,0,0,1,1,0
13.0,The Persistence of Memory,0.3144627974953894,I feel shocked and discomfort.,1.6411208603636653,-1.861777052938405,-1.3692990312870437,1.8094174552553168,1.2582702862331236,1.5761453259490632,-0.07962848271640624,"Bedroom,Office","Friends,Family members,By yourself",Fall,oreo,A very solemn soundtrack.,0,1,0,0,1,1,0,1,1,0,1,0,0,0
13.0,The Starry Night,0.7868951693194484,I fell lonely and wonder.,0.9213874634329337,-0.3213918463765434,0.24121744547650806,1.112048637060993,0.8618856092085105,0.4551077798918739,-0.07962839012555142,Bedroom,"Friends,Family members,Coworkers/Classmates,By yourself",Spring,ramen,a very quiet and lower tone soundtrack,0,1,0,0,0,1,1,1,1,0,0,1,0,0
13.0,The Water Lily Pond,0.3144627974953894,I feel joy and calm.,-1.2378127273592614,1.2189933601853182,1.046475683858284,-0.9800578175219782,0.06911625515928428,0.08142859787281082,-0.07962853827091913,"Bathroom,Living room,Dining room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself","Spring,Summer",caesar salad,"more joyful, calm, and high pitch soundtrack using flute and clarinet.",1,0,1,1,0,1,1,1,1,1,0,1,1,0
14.0,The Persistence of Memory,-0.15796957432866957,"The painting makes me feel nostalgic and sad. The sunset conveys a calming ending feeling while the clocks melting away induces a feeling of the duration and longing where time loses its meaning. While it conveys to me of the inevitable passing of my limited amount of time, it also reminds me of the greatest times and memories I have experienced in my life.",0.9213874634329337,-0.3213918463765434,0.24121744547650806,1.112048637060993,0.4655009321838974,-0.29225058414625227,-0.07777675821091616,"Living room,Dining room","Friends,Strangers,By yourself","Summer,Fall",A chocolate dessert,"Slow, calm rhythm. No intense variations in melody. Strongly harmonic.",0,0,1,1,0,1,0,0,1,1,1,0,1,0
14.0,The Starry Night,0.7868951693194484,The painting makes me feel calm. It reminds me of quietness as if the quiet streets and the sky swirl around when I have an alone-time to myself. The amount of noise I ingest from the world is reduced by the blurriness of the details.,-0.5180793304285297,0.4488007569043874,0.24121744547650806,-0.28268899932765446,0.4655009321838974,0.8287869619109369,0.10555313432722913,Bedroom,"Friends,Coworkers/Classmates,By yourself","Spring,Summer",Ice cream,"I closely associate this painting with Chopin's Nocturne op.9 no.2. A piano piece with calm rhythm, with distinct notes. Harmonic but not too much.",0,1,0,0,0,1,1,0,1,0,0,1,1,0
14.0,The Water Lily Pond,-0.15796957432866957,"The painting makes me feel warm, happy, and content with my life. A feeling of the lack of distraction produced by the isolation of the pleasing location and cozy lighting.",-1.2378127273592614,1.2189933601853182,0.24121744547650806,-0.9800578175219782,0.06911625515928428,0.08142859787281082,-0.07944339359762657,"Office,Living room","Friends,Family members,Coworkers/Classmates","Spring,Summer",Christmas porridge,"Average rhythm, dominated by mild melody, but paired with distinct high pitched themes. The harmony does not stand out distinctively. ",0,0,0,1,1,0,1,1,1,0,0,1,1,0
15.0,The Persistence of Memory,-1.5752666898008465,It makes me feel a bit anxious or sad since it seems to symbolize time melting away.,0.9213874634329337,-0.3213918463765434,0.24121744547650806,-0.9800578175219782,-0.32726842186532884,0.4551077798918739,-0.07953598445244381,Office,By yourself,Summer,Scrambled eggs,It would probably be slow and a little sad but not creepy or eerie.,0,0,0,0,1,1,0,0,0,0,0,0,1,0
15.0,The Starry Night,-1.5752666898008465,The painting makes me feel peaceful.,-0.5180793304285297,0.4488007569043874,1.046475683858284,-0.9800578175219782,-1.120037775914555,-0.29225058414625227,0.10555313432722913,"Bedroom,Bathroom,Living room,Dining room","Friends,Family members,By yourself",Summer,Blueberry pie,Calming classical music. Probably quite quiet.,1,1,1,1,0,1,0,1,1,0,0,0,1,0
15.0,The Water Lily Pond,-0.6304019461527285,It makes me feel calm,-0.5180793304285297,0.4488007569043874,1.046475683858284,-0.9800578175219782,-1.120037775914555,-1.0396089481843784,-0.042592233380363026,"Bedroom,Bathroom,Living room,Dining room","Friends,Family members,By yourself",Spring,A salad.,"Maybe a bit upbeat, but not very fast and still probably quite slow and quiet.",1,1,1,1,0,1,0,1,1,0,0,1,0,0
16.0,The Persistence of Memory,0.7868951693194484,"This painting makes me feel a sense a fleeting emotions and temporality. I like the use of colour because as the sun sets, it makes me feel like there will be a tomorrow whilst grieving the today.",0.9213874634329337,-0.3213918463765434,0.24121744547650806,-0.28268899932765446,0.06911625515928428,0.08142859787281082,-0.051851318862087534,Living room,By yourself,Fall,Banana,"The soundtrack would be calm and serene. There's a weird uneasiness to it though, that things won't last and a feeling that you'll lose it all.",0,0,0,1,0,1,0,0,0,0,1,0,0,0
16.0,The Starry Night,-1.5752666898008465,This painting makes me happy. Just like after a good day of having fun with friends.,-0.5180793304285297,0.4488007569043874,0.24121744547650806,-0.28268899932765446,-0.32726842186532884,-0.6659297661653153,-0.042592233380363026,Bedroom,Friends,Summer,Jolly Ranchers,This soundtrack would have piano and violin as a duet playing ballads. ,0,1,0,0,0,0,0,0,1,0,0,0,1,0
16.0,The Water Lily Pond,-1.1028343179767874,"This painting makes me feel girly. I feel like I would have a picnic with friends in pretty fancy dresses, eating gourmet cakes and deserts.",-1.2378127273592614,0.4488007569043874,0.24121744547650806,-0.9800578175219782,-0.32726842186532884,-1.0396089481843784,-0.024074062416914007,"Office,Living room",By yourself,Spring,Cake with ribbons,I think it would sound magical with twinkling sounds. I think it would be calm and include some bird sounds too.,0,0,0,1,1,1,0,0,0,0,0,1,0,0
17.0,The Persistence of Memory,0.7868951693194484,This painting make me feel weird and little sad. Time look melting and nothing feel normal. It make me think life go fast.,0.9213874634329337,-1.0915844496574743,-1.3692990312870437,1.112048637060993,0.4655009321838974,0.8287869619109369,-0.07962764939871289,Office,By yourself,Summer,Old cheese that stay too long,"The soundtrack is very slow and quiet. Sound feel empty and long. Notes stretch and feel tired, like waiting and nothing happen. Music feel lonely and strange.",0,0,0,0,1,1,0,0,0,0,0,0,1,0
17.0,The Starry Night,1.2593275411435074,"This painting make me feel strong but also calm. Sky look moving and alive. It feel big and emotional, like thinking too much at night.",0.201654066502202,0.4488007569043874,0.24121744547650806,0.41467981886666927,0.06911625515928428,1.20246614393,-0.07962487167306836,Living room,By yourself,Summer,Pie,The soundtrack is soft but powerful. Sound go up and down like wave. Music feel spinning and emotional,0,0,0,1,0,1,0,0,0,0,0,0,1,0
17.0,The Water Lily Pond,-0.15796957432866957,This painting make me feel calm and quiet. Everything feel soft and slow. It make my brain rest a little.,-0.5180793304285297,1.2189933601853182,1.046475683858284,-0.9800578175219782,0.06911625515928428,0.4551077798918739,-0.07962709385358399,Living room,Family members,Spring,Matcha cake,The soundtrack is very soft and smooth. Sound feel gentle and slow.,0,0,0,1,0,0,0,1,0,0,0,1,0,0
18.0,The Persistence of Memory,1.2593275411435074,It makes me feel lost and sad. ,1.6411208603636653,-1.0915844496574743,-0.5640407929052679,1.112048637060993,-0.32726842186532884,0.4551077798918739,-0.07962487167306836,Office,By yourself,Fall,coconut,the soundtrack would be a violin piece. it would be slow but intense.,0,0,0,0,1,1,0,0,0,0,1,0,0,0
18.0,The Starry Night,1.7317599129675663,Amazed and stunned by the beauty of the universe,-0.5180793304285297,1.2189933601853182,0.24121744547650806,-0.28268899932765446,-0.32726842186532884,-0.6659297661653153,-0.07962783458042252,Bedroom,"Friends,Family members",Spring,Cake ,piano piece that is fast and loud,0,1,0,0,0,0,0,1,1,0,0,1,0,0
18.0,The Water Lily Pond,0.3144627974953894,"Calm and happy, amazed at nature",-1.2378127273592614,1.2189933601853182,1.046475683858284,-0.9800578175219782,-1.120037775914555,-1.0396089481843784,-0.07961931622177934,Living room,Family members,Summer,Dragonfruit,A upbeat rhythmic pop song with a female singer,0,0,0,1,0,0,0,1,0,0,0,0,1,0
19.0,The Persistence of Memory,-1.5752666898008465,"Shocked, mysterious, unreal ",0.9213874634329337,-1.861777052938405,-2.17455726966882,1.112048637060993,-0.32726842186532884,0.8287869619109369,-0.07962672349016471,Dining room,"Strangers,By yourself",Winter,"A single soft-boiled egg, yolk just barely holding together.","Suspended, quietly unsettling. A single distant piano note drops into the air and lingers far longer than it should, as if streched.",0,0,1,0,0,1,0,0,0,1,0,0,0,1
19.0,The Starry Night,-2.0476990616249053,"Sorrow, dreamlike, loneliness ",-0.5180793304285297,0.4488007569043874,-0.5640407929052679,-0.9800578175219782,0.4655009321838974,-0.6659297661653153,-0.07777675821091616,Living room,"Friends,Family members,Coworkers/Classmates",Summer,A bowl of black garlic miso ramen.,"Softly. A solon piano or muted strings trace a slow, circular motif, repeating with slight variations.",0,0,0,1,0,0,1,1,1,0,0,0,1,0
19.0,The Water Lily Pond,-2.5201314334489644,"Bright, lively, comfortable, peaceful ",-0.5180793304285297,1.2189933601853182,1.046475683858284,-0.9800578175219782,-1.120037775914555,-1.0396089481843784,-0.0796202421303275,"Bedroom,Living room,Dining room","Friends,Family members,Coworkers/Classmates",Spring,Stir-fried lettuce with chili peppers,light drifting across water. Violins and violas held in warm sustained tones.,0,1,1,1,0,0,1,1,1,0,0,1,0,0
20.0,The Persistence of Memory,-0.15796957432866957,Very uneasy,0.9213874634329337,-1.0915844496574743,-1.3692990312870437,1.8094174552553168,0.06911625515928428,-0.29225058414625227,-0.07962672349016471,Office,Coworkers/Classmates,Fall,Coffee,Slow orchestral strings ensemble,0,0,0,0,1,0,1,0,0,0,1,0,0,0
20.0,The Starry Night,-0.6304019461527285,Makes me feel small and insignificant yet calm and serene ,-0.5180793304285297,0.4488007569043874,0.24121744547650806,-0.28268899932765446,0.06911625515928428,-0.29225058414625227,-0.07961931622177934,"Bedroom,Bathroom,Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself","Summer,Winter",Hot chocolate,"Electronic synths and bells, very serene",1,1,1,1,1,1,1,1,1,1,0,0,1,1
20.0,The Water Lily Pond,-1.1028343179767874,Happy and content,-0.5180793304285297,0.4488007569043874,0.24121744547650806,0.41467981886666927,-0.32726842186532884,-0.6659297661653153,-0.07962301985597203,"Bedroom,Bathroom,Office,Living room,Dining room","Friends,Family members,By yourself","Spring,Summer",Salad,Happy piano music,1,1,1,1,1,1,0,1,1,0,0,1,1,0
21.0,The Persistence of Memory,0.3144627974953894,"Perhaps the fragility of time as it passes so quickly. Seeing as the clocks are bended, one almost gets this feeling that the past also loses its importance or fades away as time moves forward. Overall, its sort of a weird feeling. ",0.9213874634329337,-1.0915844496574743,-2.17455726966882,1.112048637060993,0.4655009321838974,-0.29225058414625227,-0.07962764939871289,Living room,Friends,Winter,Birthday cake,The tides of history move forward and people either choose to stay caught in a specific tide or surf past it. ,0,0,0,1,0,0,0,0,1,0,0,0,0,1
21.0,The Starry Night,-0.6304019461527285, A bit uneasy because the sky above the city is so disturbing in a sense ,-1.2378127273592614,-1.861777052938405,-2.17455726966882,1.8094174552553168,0.4655009321838974,-0.29225058414625227,-0.07962839012555142,Bedroom,Family members,Winter,A cup of tea/coffee,"A calm soundtrack with a soft/light beat, but some background noise that is eerie in some sense. ",0,1,0,0,0,0,0,1,0,0,0,0,0,1
21.0,The Water Lily Pond,0.7868951693194484,A sense of calm and very content,-1.2378127273592614,1.2189933601853182,1.046475683858284,-0.9800578175219782,0.06911625515928428,-1.0396089481843784,-0.0796239457645202,Bedroom,"Friends,Family members,Coworkers/Classmates","Spring,Summer",An ice cream,A very soothing soundtrack like one of those soundtracks people use to concentrate or feel at ease.,0,1,0,0,0,0,1,1,1,0,0,1,1,0
22.0,The Persistence of Memory,-0.6304019461527285,"Ominous, it seems like the painting is trying to show how memory, even after years of time spending by, persists, and stays within ones body.",0.9213874634329337,-1.0915844496574743,-0.5640407929052679,1.112048637060993,1.6546549632577368,1.9498245079681262,-0.07962764939871289,Bedroom,Friends,Winter,rotten tomato,"An orchestral soundtrack that commences with a very slow and sombre timbre and steadily keeps on increasing intensity and frequency till it reaches a dull minor scale peak, before descending back into silence.",0,1,0,0,0,0,0,0,1,0,0,0,0,1
22.0,The Starry Night,0.7868951693194484,"mystical and magical, yet surreal",0.201654066502202,0.4488007569043874,1.046475683858284,-0.28268899932765446,0.4655009321838974,-0.29225058414625227,-0.07962672349016471,Living room,"Friends,Family members,By yourself",Winter,Apple pie,"A chime playing a duo with a harpsichord, an arpeggio from both, in a repeated fashion, which gets somewhat hypnotizing by the end.",0,0,0,1,0,1,0,1,1,0,0,0,0,1
22.0,The Water Lily Pond,-0.15796957432866957,"Happy, serene, calm. Feels like a place where I can sit and enjoy for hours on end, while reading a book, enjoying the occasional short lived company of the pedestrians, and leave as the sun sets :)",-1.2378127273592614,1.2189933601853182,1.046475683858284,-0.9800578175219782,-0.32726842186532884,0.08142859787281082,-0.0796239457645202,Living room,"Friends,Family members,By yourself","Spring,Fall", a warm croissant ,"Any ludovico einaudi song, honestly. Just piano and orchestral genius, doing their thing.",0,0,0,1,0,1,0,1,1,0,1,1,0,0
23.0,The Persistence of Memory,-1.5752666898008465,slowed down and lazy.,0.9213874634329337,-1.0915844496574743,-1.3692990312870437,1.8094174552553168,0.4655009321838974,0.08142859787281082,-0.07962764939871289,Bathroom,By yourself,Winter,cheesecake,slowed classical,1,0,0,0,0,1,0,0,0,0,0,0,0,1
23.0,The Starry Night,-2.0476990616249053,happy,-0.5180793304285297,0.4488007569043874,1.046475683858284,-0.28268899932765446,-0.32726842186532884,-0.6659297661653153,-0.07962579758161654,"Bedroom,Office",Family members,Summer,blueberry,classical music with violins,0,1,0,0,1,0,0,1,0,0,0,0,1,0
23.0,The Water Lily Pond,-0.6304019461527285,refreshed,-1.2378127273592614,1.2189933601853182,1.046475683858284,-0.9800578175219782,-1.120037775914555,-0.6659297661653153,-0.07962487167306836,"Office,Living room","Friends,Family members,Strangers","Spring,Summer",Apple,A calming voice singing with instrumental music,0,0,0,1,1,0,0,1,1,1,0,1,1,0
24.0,The Persistence of Memory,-0.6304019461527285,"This painting makes me feel a bit strange. The content in the painting goes against reality, and it feels like there are many elements of imagination and distortion.",0.201654066502202,-0.3213918463765434,-0.5640407929052679,0.41467981886666927,0.4655009321838974,0.08142859787281082,-0.07962672349016471,Bedroom,Family members,Fall,Sandwich,"It sounds a bit strange, fairly calm, and somewhat random.",0,1,0,0,0,0,0,1,0,0,1,0,0,0
